kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000177328,281963352.757,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000942824,53032187.873,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000016947,2950326493.378,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.001170339,42722661.824,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.001090394,45854983.580,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000178109,280726357.759,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000369303,135390093.384,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000040007,1249772244.660,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.001195546,41821887.220,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.007470663,6692846.251,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.001306562,38268378.727,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.000356130,140398050.168,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.000021647,2309767943.726,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,MONTGOMERYMULTIPLICATION,50000,0.000949995,52631848.945,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,secp256k1,256,COMPARE,50000,0.000414660,120580793.846,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,secp256k1,256,COMPARE,50000,0.000065454,763897399.705,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,secp256k1,256,COMPARE,50000,0.000125561,398213107.848,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,COMPARE,50000,0.000010960,4561931529.082,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,COMPARE,50000,0.000976719,51191773.783,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,secp256k1,256,REDUCE,6250,0.000120853,51715666.990,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,secp256k1,256,REDUCE,6250,0.000021242,294224566.138,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,secp256k1,256,REDUCE,6250,0.000268234,23300574.201,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,REDUCE,50000,0.000026207,1907890730.112,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,REDUCE,50000,0.000924825,54064270.584,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,secp256k1,256,MODMUL,3125,0.000269340,11602434.782,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,secp256k1,256,MODMUL,3125,0.000047541,65733346.767,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,secp256k1,256,MODMUL,3125,0.000270639,11546758.947,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,MODMUL,50000,0.000299537,166924237.040,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,MODMUL,50000,0.001205170,41487920.751,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,secp256k1,256,MODEXP,781,0.007305795,106901.441,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,secp256k1,256,MODEXP,781,0.001311985,595281.267,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,secp256k1,256,MODEXP,781,0.002461901,317234.536,0
