kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,REDUCE,50000,0.000093668,533801553.070,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,REDUCE,50000,0.001020502,48995480.016,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,rsa256(composite),256,MODMUL,3125,0.000269781,11583485.271,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,rsa256(composite),256,MODMUL,3125,0.000046870,66673486.136,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,rsa256(composite),256,MODMUL,3125,0.000308176,10140300.557,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,MODMUL,50000,0.000298465,167523753.684,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,MODMUL,50000,0.001226393,40769979.397,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,rsa256(composite),256,MODEXP,781,0.006981585,111865.713,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,rsa256(composite),256,MODEXP,781,0.001251201,624200.196,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,rsa256(composite),256,MODEXP,781,0.002419331,322816.499,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,MODEXP,50000,0.005007977,9984071.150,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,MODEXP,50000,0.005982291,8358002.041,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,rsa256(composite),256,EXPONENTIATION,781,0.002505896,311665.009,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,rsa256(composite),256,EXPONENTIATION,781,0.000464672,1680755.494,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,rsa256(composite),256,EXPONENTIATION,781,0.006542511,119373.127,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,EXPONENTIATION,50000,0.001462228,34194401.597,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,EXPONENTIATION,50000,0.002431561,20562920.315,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,rsa256(composite),256,DIVIDE,6250,0.000287695,21724387.282,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,rsa256(composite),256,DIVIDE,6250,0.000050156,124612379.240,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,rsa256(composite),256,DIVIDE,6250,0.000337530,18516853.328,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,DIVIDE,50000,0.000123531,404757925.211,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,DIVIDE,50000,0.001342619,37240651.320,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,rsa256(composite),256,ISQRT,1562,0.000124488,12547367.239,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,rsa256(composite),256,ISQRT,1562,0.000021118,73966194.214,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,ISQRT,50000,0.002220072,22521793.585,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,ISQRT,50000,0.003195636,15646337.818,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,rsa256(composite),256,MODMUL_R2,50000,0.004405631,11349112.717,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,rsa256(composite),256,MODMUL_R2,50000,0.000774868,64527133.393,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,rsa256(composite),256,MODMUL_R2,50000,0.005897374,8478349.341,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,MODMUL_R2,50000,0.000033604,1487918940.192,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,MODMUL_R2,50000,0.000967865,51660103.711,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,brainpoolP512r1,512,ADD,25000,0.000504272,49576376.689,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,brainpoolP512r1,512,ADD,25000,0.000083488,299445091.322,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,brainpoolP512r1,512,ADD,25000,0.000087124,286948513.228,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,brainpoolP512r1,512,ADD,50000,0.000029630,1687477328.304,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,brainpoolP512r1,512,ADD,50000,0.001882446,26561186.903,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,brainpoolP512r1,512,SUBTRACT,25000,0.000392408,63709258.338,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,brainpoolP512r1,512,SUBTRACT,25000,0.000063059,396452859.504,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,brainpoolP512r1,512,SUBTRACT,25000,0.000075031,333196120.342,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,brainpoolP512r1,512,SUBTRACT,50000,0.000029700,1683508661.022,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,brainpoolP512r1,512,SUBTRACT,50000,0.001802347,27741603.731,0
