kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,secp256k1,256,MODMUL_R2,50000,0.004354216,11483123.679,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,secp256k1,256,MODMUL_R2,50000,0.000266439,187660180.697,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,secp256k1,256,MODMUL_R2,50000,0.004068948,12288188.206,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,MODMUL_R2,50000,0.000018237,2741690155.374,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,MODMUL_R2,50000,0.000388963,128546959.235,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,MODMUL_R2,50000,0.000013751,3636105059.262,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,MODMUL_R2,50000,0.000379990,131582379.653,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,rsa256(composite),256,ADD,50000,0.000808249,61862124.565,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,rsa256(composite),256,ADD,50000,0.000035821,1395820402.857,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,rsa256(composite),256,ADD,50000,0.000052071,960235935.008,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,rsa256(composite),256,ADD,50000,0.000013370,3739697074.394,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,rsa256(composite),256,ADD,50000,0.000384235,130128678.276,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,rsa256(composite),256,ADD,50000,0.000012739,3924997071.994,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,rsa256(composite),256,ADD,50000,0.000382554,130700495.966,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,rsa256(composite),256,SUBTRACT,50000,0.000610452,81906486.605,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,rsa256(composite),256,SUBTRACT,50000,0.000045676,1094666371.695,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,rsa256(composite),256,SUBTRACT,50000,0.000050538,989349108.370,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,rsa256(composite),256,SUBTRACT,50000,0.000012779,3912625529.279,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,rsa256(composite),256,SUBTRACT,50000,0.000386428,129390180.370,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,rsa256(composite),256,SUBTRACT,50000,0.000013019,3840484375.056,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,rsa256(composite),256,SUBTRACT,50000,0.000390936,127898198.096,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,rsa256(composite),256,ADDMOD,50000,0.001760639,28398784.942,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,rsa256(composite),256,ADDMOD,50000,0.000111067,450180104.438,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,rsa256(composite),256,ADDMOD,50000,0.000572478,87339599.201,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,rsa256(composite),256,ADDMOD,50000,0.000011007,4542535479.640,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,rsa256(composite),256,ADDMOD,50000,0.000384726,129962668.991,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,rsa256(composite),256,ADDMOD,50000,0.000010887,4592663760.987,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,rsa256(composite),256,ADDMOD,50000,0.000379228,131846793.044,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,rsa256(composite),256,SUBTRACTMOD,50000,0.001655424,30203736.450,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,rsa256(composite),256,SUBTRACTMOD,50000,0.000109627,456090451.655,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,rsa256(composite),256,SUBTRACTMOD,50000,0.000652551,76622323.628,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,rsa256(composite),256,SUBTRACTMOD,50000,0.000010376,4818875433.085,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,rsa256(composite),256,SUBTRACTMOD,50000,0.000393289,127133003.032,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,rsa256(composite),256,SUBTRACTMOD,50000,0.000010976,4555447801.277,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,rsa256(composite),256,SUBTRACTMOD,50000,0.000383654,130325713.474,0
